question,category,ai_response,score,error_type,comment
"사과 영어","translation","apple",5,"none","정확한 단어 번역"
"AI 의미","definition","Artificial Intelligence",5,"none","정확한 정의"
"SQL 역할","definition","데이터베이스를 조회하고 관리하는 데 사용된다",5,"none","핵심 기능 설명"
"파이썬 장점","definition","문법이 간단하고 라이브러리가 많다",5,"none","핵심 장점 포함"
"대한민국 수도","fact","서울",5,"none","정확한 사실"
"일본의 수도","fact","도쿄",5,"none","정확한 사실"
"3+5는?","math","8",5,"none","정답"
"10의 절반은?","math","5",5,"none","정답"
"Hello 뜻","translation","안녕하세요",5,"none","문맥상 자연스러움"
"database 뜻","translation","데이터베이스",5,"none","정확한 번역"
"CPU가 뭐야?","definition","컴퓨터의 중앙처리장치다",5,"none","정확한 설명"
"HTML 용도","definition","웹페이지 구조를 만드는 데 사용된다",5,"none","정확함"
"비타민C 많은 과일","fact","오렌지 등이 있다",4,"minor","대표 예시는 맞지만 다소 단순함"
"운동의 장점","definition","건강에 좋다",4,"minor","너무 짧지만 틀리진 않음"
"감자의 영어","translation","potato",5,"none","정확한 번역"
"물의 화학식","fact","H2O",5,"none","정답"
"대한민국 화폐 단위","fact","원",5,"none","정확한 사실"
"지구는 몇 개의 위성이 있어?","fact","달 1개가 있다",5,"none","정확한 사실"
"JSON이 뭐야?","definition","데이터를 저장하고 교환하는 형식이다",5,"none","핵심 설명"
"노트북과 데스크탑 차이","comparison","노트북은 휴대성이 좋고 데스크탑은 확장성이 좋다",5,"none","비교 적절"
"프랑스 수도","fact","파리일 수도 있다",2,"wrong","불필요한 불확실성"
"사과 영어 복수형","translation","apples",5,"none","정확한 복수형"
"1년은 몇 달?","math","12달",5,"none","정답"
"일주일은 며칠?","math","7일",5,"none","정답"
"파이썬 creator","fact","Guido van Rossum",5,"none","정확함"
"CSS 역할","definition","웹페이지 스타일을 지정한다",5,"none","정확한 설명"
"SQL과 Python 차이","comparison","둘 다 프로그래밍 언어다",2,"partial","SQL의 성격 설명이 부정확"
"태양은 행성인가?","fact","네, 가장 큰 행성이다",1,"wrong","명백한 사실 오류"
"대한민국은 어느 대륙?","fact","아시아",5,"none","정확한 사실"
"apple 뜻","translation","사과",5,"none","정확한 번역"
"moon 뜻","translation","달",5,"none","정확한 번역"
"2의 제곱은?","math","4",5,"none","정답"
"16의 제곱근은?","math","4",5,"none","정답"
"빅데이터 뜻","definition","매우 큰 데이터",3,"minor","너무 단순해 핵심 부족"
"HTTP 용도","definition","웹에서 데이터를 주고받기 위한 프로토콜",5,"none","정확한 설명"
"한국의 국기 이름","fact","태극기",5,"none","정확한 사실"
"피자의 원산지","fact","이탈리아",5,"none","정확한 사실"
"기차와 비행기 차이","comparison","기차는 땅에서, 비행기는 하늘에서 이동한다",5,"none","기본 비교 적절"
"딥러닝이 뭐야?","definition","신경망을 기반으로 학습하는 머신러닝 기법",5,"none","정확한 설명"
"영어로 감사합니다","translation","thank you",5,"none","정확한 번역"
